Voter,Movie,Pick
Chiwetel Ejiofor,12 Years a Slave,1
Chiwetel Ejiofor,Citizenfour,2
Chiwetel Ejiofor,City of God,3
Chiwetel Ejiofor,I Am Not Your Negro,4
Chiwetel Ejiofor,Man on Wire,5
Chiwetel Ejiofor,Searching for Sugar Man,6
Chiwetel Ejiofor,The Act of Killing,7
Chiwetel Ejiofor,The Diving Bell and the Butterfly,8
Chiwetel Ejiofor,Under The Skin,9
Chiwetel Ejiofor,Waltz with Bashir,10
Brett Goldstein,45 Years,1
Brett Goldstein,Bridesmaids,2
Brett Goldstein,If Beale Street Could Talk,3
Brett Goldstein,Inside Out,4
Brett Goldstein,Never Rarely Sometimes Always,5
Brett Goldstein,Pan's Labyrinth,6
Brett Goldstein,Sexy Beast,7
Brett Goldstein,Shoplifters,8
Brett Goldstein,The Florida Project,9
Brett Goldstein,The Virgin Suicides,10
Luca Guadagnino,A History of Violence,1
Luca Guadagnino,Fat Girl,2
Luca Guadagnino,Ghosts of Mars,3
Luca Guadagnino,In the Mood for Love,4
Luca Guadagnino,Little Girl,5
Luca Guadagnino,Me and You,6
Luca Guadagnino,Millennium Mambo,7
Luca Guadagnino,Redacted,8
Luca Guadagnino,Sex Is Comedy,9
Luca Guadagnino,Teza,10
Bryce Dallas Howard,Amélie,1
Bryce Dallas Howard,Children of Men,2
Bryce Dallas Howard,Eternal Sunshine of the Spotless Mind,3
Bryce Dallas Howard,Get Out,4
Bryce Dallas Howard,Her,5
Bryce Dallas Howard,Inside Out,6
Bryce Dallas Howard,Portrait of a Lady on Fire,7
Bryce Dallas Howard,Spirited Away,8
Bryce Dallas Howard,The Florida Project,9
Bryce Dallas Howard,The Grand Budapest Hotel,10
Barry Jenkins,Caché,1
Barry Jenkins,Elephant,2
Barry Jenkins,Nickel Boys,3
Barry Jenkins,Once Upon a Time in Anatolia,4
Barry Jenkins,Punch-Drunk Love,5
Barry Jenkins,Saint Omer,6
Barry Jenkins,"Synecdoche, New York",7
Barry Jenkins,The Holy Girl,8
Barry Jenkins,Vortex,9
Barry Jenkins,Zodiac,10
Stephen King,Black Hawk Down,1
Stephen King,Brokeback Mountain,2
Stephen King,Children of Men,3
Stephen King,Million Dollar Baby,4
Stephen King,No Country for Old Men,5
Stephen King,"O Brother, Where Art Thou?",6
Stephen King,Oppenheimer,7
Stephen King,The Departed,8
Stephen King,The Rule of Jenny Pen,9
Stephen King,Train to Busan,10
David Krumholtz,Anchorman: The Legend of Ron Burgundy,1
David Krumholtz,City of God,2
David Krumholtz,Harry Potter and the Prisoner of Azkaban,3
David Krumholtz,Inglourious Basterds,4
David Krumholtz,Munich,5
David Krumholtz,Oppenheimer,6
David Krumholtz,Phantom Thread,7
David Krumholtz,The Lord of the Rings: The Two Towers,8
David Krumholtz,The Tree of Life,9
David Krumholtz,WALL·E,10
Nathan Lane,Bridesmaids,1
Nathan Lane,Inglourious Basterds,2
Nathan Lane,Lincoln,3
Nathan Lane,Manchester by the Sea,4
Nathan Lane,Margaret,5
Nathan Lane,Parasite,6
Nathan Lane,The Grand Budapest Hotel,7
Nathan Lane,The Royal Tenenbaums,8
Nathan Lane,The Social Network,9
Nathan Lane,WALL·E,10
John Lithgow,A Prophet,1
John Lithgow,Dawson City: Frozen Time,2
John Lithgow,Moonlight,3
John Lithgow,Mulholland Drive,4
John Lithgow,Parasite,5
John Lithgow,Roma,6
John Lithgow,Silver Linings Playbook,7
John Lithgow,The Wolf of Wall Street,8
John Lithgow,There Will Be Blood,9
John Lithgow,Totem,10
Simu Liu,Eternal Sunshine of the Spotless Mind,1
Simu Liu,Get Out,2
Simu Liu,Hero,3
Simu Liu,Inside Out,4
Simu Liu,Interstellar,5
Simu Liu,La La Land,6
Simu Liu,Past Lives,7
Simu Liu,The Lord of the Rings: The Two Towers,8
Simu Liu,The Social Network,9
Simu Liu,Tropic Thunder,10
Mikey Madison,Almost Famous,1
Mikey Madison,Before Sunset,2
Mikey Madison,Blue Is the Warmest Colour,3
Mikey Madison,Captain Volkonogov Escaped,4
Mikey Madison,Mad Max: Fury Road,5
Mikey Madison,Portrait of a Lady on Fire,6
Mikey Madison,Tangerine,7
Mikey Madison,The Florida Project,8
Mikey Madison,The Girl with the Needle,9
Mikey Madison,Vicky Cristina Barcelona,10
Charles Melton,A Knight's Tale,1
Charles Melton,Another Round,2
Charles Melton,Brokeback Mountain,3
Charles Melton,Broker,4
Charles Melton,I Saw the Devil,5
Charles Melton,Memories of Murder,6
Charles Melton,Oldboy,7
Charles Melton,"Oslo, August 31st",8
Charles Melton,The Social Network,9
Charles Melton,There Will Be Blood,10
Stephen Merchant,Aftersun,1
Stephen Merchant,City of God,2
Stephen Merchant,Collateral,3
Stephen Merchant,Eternal Sunshine of the Spotless Mind,4
Stephen Merchant,Girlhood,5
Stephen Merchant,In the Mood for Love,6
Stephen Merchant,Memories of Murder,7
Stephen Merchant,Mulholland Drive,8
Stephen Merchant,Team America: World Police,9
Stephen Merchant,The Wolf of Wall Street,10
Julianne Moore,Amour,1
Julianne Moore,Black Swan,2
Julianne Moore,Dogtooth,3
Julianne Moore,Ex Machina,4
Julianne Moore,Good Time,5
Julianne Moore,Lost in Translation,6
Julianne Moore,Parasite,7
Julianne Moore,Phantom Thread,8
Julianne Moore,Superbad,9
Julianne Moore,The 40-Year-Old Virgin,10
James Murphy,24 Hour Party People,1
James Murphy,Get Out,2
James Murphy,Her,3
James Murphy,Mulholland Drive,4
James Murphy,Parasite,5
James Murphy,Step Brothers,6
James Murphy,The Hunt,7
James Murphy,The Lord of the Rings: The Two Towers,8
James Murphy,The Royal Tenenbaums,9
James Murphy,The Squid and the Whale,10
Julianne Nicholson,13th,1
Julianne Nicholson,Another Round,2
Julianne Nicholson,Best in Show,3
Julianne Nicholson,Close,4
Julianne Nicholson,Fantastic Mr. Fox,5
Julianne Nicholson,Fish Tank,6
Julianne Nicholson,Happy as Lazzaro,7
Julianne Nicholson,Head-On,8
