Voter,Movie,Pick
Eugene Hernandez,There Will Be Blood,9
Eugene Hernandez,Y tu mamá también,10
Joe Hill,Brokeback Mountain,1
Joe Hill,Gone Baby Gone,2
Joe Hill,Iron Man,3
Joe Hill,Let the Right One In,4
Joe Hill,Little Women,5
Joe Hill,Moonrise Kingdom,6
Joe Hill,Silence,7
Joe Hill,The Devil's Backbone,8
Joe Hill,The Social Network,9
Joe Hill,Zodiac,10
Joanna Hogg,Annette,1
Joanna Hogg,Beau travail,2
Joanna Hogg,Killers of the Flower Moon,3
Joanna Hogg,Le Quattro Volte,4
Joanna Hogg,Margaret,5
Joanna Hogg,Mulholland Drive,6
Joanna Hogg,"Synecdoche, New York",7
Joanna Hogg,There Will Be Blood,8
Joanna Hogg,What Time Is It There?,9
Joanna Hogg,Yi Yi,10
Cord Jefferson,American Honey,1
Cord Jefferson,Amélie,2
Cord Jefferson,Before the Devil Knows You're Dead,3
Cord Jefferson,Burning,4
Cord Jefferson,First Reformed,5
Cord Jefferson,Get Out,6
Cord Jefferson,Hell or High Water,7
Cord Jefferson,Mad Max: Fury Road,8
Cord Jefferson,The Social Network,9
Cord Jefferson,There Will Be Blood,10
Dave Karger,All of Us Strangers,1
Dave Karger,Anatomy of a Fall,2
Dave Karger,Brooklyn,3
Dave Karger,Lion,4
Dave Karger,Lost in Translation,5
Dave Karger,Michael Clayton,6
Dave Karger,Portrait of a Lady on Fire,7
Dave Karger,Roma,8
Dave Karger,Sound of Metal,9
Dave Karger,Vera Drake,10
Darius Khondji,Birdman or (The Unexpected Virtue of Ignorance),1
Darius Khondji,Mulholland Drive,2
Darius Khondji,No Country for Old Men,3
Darius Khondji,Oppenheimer,4
Darius Khondji,Parasite,5
Darius Khondji,The Zone of Interest,6
Darius Khondji,There Will Be Blood,7
Darius Khondji,Toni Erdmann,8
Darius Khondji,Uncut Gems,9
Darius Khondji,Zodiac,10
Vicky Krieps,25th Hour,1
Vicky Krieps,Aftersun,2
Vicky Krieps,Amour,3
Vicky Krieps,Birdman or (The Unexpected Virtue of Ignorance),4
Vicky Krieps,Drive My Car,5
Vicky Krieps,My Life Without Me,6
Vicky Krieps,Only Lovers Left Alive,7
Vicky Krieps,Phantom Thread,8
Vicky Krieps,Son of Saul,9
Vicky Krieps,Songs from the Second Floor,10
Karyn Kusama,A Prophet,1
Karyn Kusama,Arrival,2
Karyn Kusama,I Am Love,3
Karyn Kusama,La Chimera,4
Karyn Kusama,Mandy,5
Karyn Kusama,Moneyball,6
Karyn Kusama,The Master,7
Karyn Kusama,The Social Network,8
Karyn Kusama,Together,9
Karyn Kusama,Under the Skin,10
Kevin Kwan,35 Shots of Rum,1
Kevin Kwan,Beau travail,2
Kevin Kwan,Donnie Darko,3
Kevin Kwan,In the Mood for Love,4
Kevin Kwan,Mulholland Drive,5
Kevin Kwan,Silent Light,6
Kevin Kwan,The Taste of Things,7
Kevin Kwan,There's Still Tomorrow,8
Kevin Kwan,Uncle Boonmee Who Can Recall His Past Lives,9
Kevin Kwan,Y tu mamá también,10
Lee Chang-dong,Boyhood,1
Lee Chang-dong,Caché,2
Lee Chang-dong,In the Mood for Love,3
Lee Chang-dong,Inside Llewyn Davis,4
Lee Chang-dong,Russian Ark,5
Lee Chang-dong,The Death of Mr. Lazarescu,6
Lee Chang-dong,The Master,7
Lee Chang-dong,The Son,8
Lee Chang-dong,The Turin Horse,9
Lee Chang-dong,Yi Yi,10
Malcolm D. Lee,12 Years a Slave,1
Malcolm D. Lee,Bowling for Columbine,2
Malcolm D. Lee,Children of Men,3
Malcolm D. Lee,City of God,4
Malcolm D. Lee,"Crouching Tiger, Hidden Dragon",5
Malcolm D. Lee,Get Out,6
Malcolm D. Lee,Her,7
Malcolm D. Lee,Moonlight,8
Malcolm D. Lee,Star Wars: Episode VII - The Force Awakens,9
Malcolm D. Lee,Zero Dark Thirty,10
Min Jin Lee,American Fiction,1
Min Jin Lee,Arrival,2
Min Jin Lee,BlacKkKlansman,3
Min Jin Lee,Boyhood,4
Min Jin Lee,Minari,5
Min Jin Lee,Nomadland,6
Min Jin Lee,Paddington 2,7
Min Jin Lee,Parasite,8
Min Jin Lee,The Hurt Locker,9
Min Jin Lee,The Lunchbox,10
Dennis Lehane,Children of Men,1
Dennis Lehane,Eternal Sunshine of the Spotless Mind,2
Dennis Lehane,In the Mood for Love,3
Dennis Lehane,Inside Out,4
Dennis Lehane,Mad Max: Fury Road,5
Dennis Lehane,Pan's Labyrinth,6
Dennis Lehane,Parasite,7
Dennis Lehane,The Grand Budapest Hotel,8
Dennis Lehane,The Hurt Locker,9
Dennis Lehane,There Will Be Blood,10
Dolly de Leon,28 Days Later,1
Dolly de Leon,Aftersun,2
Dolly de Leon,All of Us Strangers,3
Dolly de Leon,All Quiet on the Western Front,4
Dolly de Leon,Anora,5
Dolly de Leon,Children of Men,6
Dolly de Leon,Close,7
Dolly de Leon,Dunkirk,8
Dolly de Leon,Eternal Sunshine of the Spotless Mind,9
Dolly de Leon,Little Miss Sunshine,10
Lesley Manville,A Bigger Splash,1
Lesley Manville,Amour,2
Lesley Manville,Biutiful,3
Lesley Manville,Boyhood,4
Lesley Manville,Inside Llewyn Davis,5
Lesley Manville,Lost in Translation,6
Lesley Manville,Punch-Drunk Love,7
Lesley Manville,Roma,8
Lesley Manville,There Will Be Blood,9
Lesley Manville,To Be and to Have,10
Brit Marling,Caché,1
Brit Marling,Fish Tank,2
Brit Marling,"Hale County This Morning, This Evening",3
Brit Marling,Mulholland Drive,4
Brit Marling,Phantom Thread,5
Brit Marling,Portrait of a Lady on Fire,6
Brit Marling,The Boy and the Heron,7
Brit Marling,The Secret in Their Eyes,8
Brit Marling,Volver,9
Brit Marling,Yi Yi,10
Rob Marshall,A Separation,1
Rob Marshall,All Quiet on the Western Front,2
Rob Marshall,Catch Me If You Can,3
Rob Marshall,Dunkirk,4
Rob Marshall,Finding Nemo,5
Rob Marshall,I'm Still Here,6
Rob Marshall,Midnight in Paris,7
Rob Marshall,Milk,8
Rob Marshall,Something's Gotta Give,9
Rob Marshall,Spotlight,10
Bill Mechanic,Black Panther,1
Bill Mechanic,"Crouching Tiger, Hidden Dragon",2
Bill Mechanic,Gladiator,3
Bill Mechanic,Mulholland Drive,4
Bill Mechanic,No Country for Old Men,5
Bill Mechanic,Oppenheimer,6
Bill Mechanic,The Dark Knight,7
Bill Mechanic,The Departed,8
Bill Mechanic,The Incredibles,9
Bill Mechanic,The Lord of the Rings: The Fellowship of the Ring,10
Erik Messerschmidt,Amour,1
Erik Messerschmidt,Children of Men,2
Erik Messerschmidt,Force Majeure,3
Erik Messerschmidt,"I, Daniel Blake",4
Erik Messerschmidt,No Country for Old Men,5
Erik Messerschmidt,Parasite,6
Erik Messerschmidt,Senna,7
Erik Messerschmidt,Triangle of Sadness,8
Erik Messerschmidt,Up,9
Erik Messerschmidt,Zodiac,10
Arian Moayed,A Separation,1
Arian Moayed,Children of Men,2
Arian Moayed,Interstellar,3
Arian Moayed,Kill Bill: Vol. 1,4
Arian Moayed,Michael Clayton,5
Arian Moayed,Moonlight,6
Arian Moayed,No Country for Old Men,7
Arian Moayed,The Act of Killing,8
Arian Moayed,Toy Story 3,9
Arian Moayed,Whale Rider,10
Michael Moses,A.I. Artificial Intelligence,1
Michael Moses,Bridesmaids,2
Michael Moses,Get Out,3
Michael Moses,Lost in Translation,4
Michael Moses,Moulin Rouge!,5
Michael Moses,Mulholland Drive,6
Michael Moses,Oppenheimer,7
Michael Moses,The New World,8
Michael Moses,There Will Be Blood,9
Michael Moses,Zodiac,10
Cristian Mungiu,A Separation,1
Cristian Mungiu,A Serious Man,2
Cristian Mungiu,Burning,3
Cristian Mungiu,Dogville,4
Cristian Mungiu,Drive My Car,5
Cristian Mungiu,In the Mood for Love,6
Cristian Mungiu,Mulholland Drive,7
Cristian Mungiu,Pacifiction,8
Cristian Mungiu,Parasite,9
Cristian Mungiu,To Be and to Have,10
Joseph Patel,24 Hour Party People,1
Joseph Patel,Amélie,2
Joseph Patel,Children of Men,3
Joseph Patel,City of God,4
Joseph Patel,I Am Not Your Negro,5
Joseph Patel,In the Mood for Love,6
Joseph Patel,Metallica: Some Kind of Monster,7
Joseph Patel,Moonlight,8
Joseph Patel,Phantom Thread,9
Joseph Patel,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",10
Justin Peck,Boyhood,1
Justin Peck,Chicago,2
Justin Peck,Get Out,3
Justin Peck,Her,4
Justin Peck,Lost in Translation,5
Justin Peck,Moonlight,6
Justin Peck,Pina,7
Justin Peck,Roma,8
Justin Peck,The Florida Project,9
Justin Peck,There Will Be Blood,10
Christian Petzold,A Prophet,1
Christian Petzold,Burning,2
Christian Petzold,First Reformed,3
Christian Petzold,Howl's Moving Castle,4
Christian Petzold,Mulholland Drive,5
Christian Petzold,Once Upon a Time in Anatolia,6
Christian Petzold,"Oslo, August 31st",7
Christian Petzold,The Son,8
Christian Petzold,The White Ribbon,9
Christian Petzold,Trouble Every Day,10
Michael Philippou,Amores Perros,1
Michael Philippou,Boy,2
Michael Philippou,Inglourious Basterds,3
Michael Philippou,Interstellar,4
Michael Philippou,Let the Right One In,5
Michael Philippou,Memories of Murder,6
Michael Philippou,Pan's Labyrinth,7
Michael Philippou,The Return,8
Michael Philippou,There Will Be Blood,9
Michael Philippou,You Won't Be Alone,10
Corneliu Porumboiu,Aurora,1
Corneliu Porumboiu,Enter the Void,2
Corneliu Porumboiu,Megalopolis,3
Corneliu Porumboiu,Melancholia,4
Corneliu Porumboiu,Memories of Murder,5
Corneliu Porumboiu,Mulholland Drive,6
Corneliu Porumboiu,No Country for Old Men,7
Corneliu Porumboiu,Nobody’s Hero,8
Corneliu Porumboiu,The Irishman,9
Corneliu Porumboiu,Us,10
Gina Prince-Bythewood,12 Years a Slave,1
Gina Prince-Bythewood,Avatar,2
Gina Prince-Bythewood,Black Panther,3
Gina Prince-Bythewood,Bridesmaids,4
Gina Prince-Bythewood,Get Out,5
Gina Prince-Bythewood,Man on Fire,6
Gina Prince-Bythewood,Moonlight,7
Gina Prince-Bythewood,Slumdog Millionaire,8
Gina Prince-Bythewood,The Hurt Locker,9
Gina Prince-Bythewood,Time,10
Tom Quinn,Amélie,1
Tom Quinn,Darwin's Nightmare,2
Tom Quinn,Gomorrah,3
Tom Quinn,Man on Wire,4
Tom Quinn,Mulholland Drive,5
Tom Quinn,Oldboy,6
Tom Quinn,Parasite,7
Tom Quinn,Portrait of a Lady on Fire,8
Tom Quinn,Spring Breakers,9
Tom Quinn,There Will Be Blood,10
Mohammad Rasoulof,"4 Months, 3 Weeks and 2 Days",1
Mohammad Rasoulof,Bad ma ra khahad bord,2
Mohammad Rasoulof,"I, Daniel Blake",3
Mohammad Rasoulof,Nomadland,4
Mohammad Rasoulof,Searching for Sugar Man,5
Mohammad Rasoulof,Songs from the Second Floor,6
Mohammad Rasoulof,The Act of Killing,7
Mohammad Rasoulof,The Hunt,8
Mohammad Rasoulof,The Square,9
Mohammad Rasoulof,The White Ribbon,10
Halina Reijn,Birth,1
Halina Reijn,Her,2
Halina Reijn,In the Mood for Love,3
Halina Reijn,Lost in Translation,4
Halina Reijn,Moonlight,5
Halina Reijn,Mulholland Drive,6
Halina Reijn,The Piano Teacher,7
Halina Reijn,The Rider,8
Halina Reijn,The Zone of Interest,9
Simon Rich,28 Days Later,1
Simon Rich,A Serious Man,2
Simon Rich,Beau Is Afraid,3
Simon Rich,Jojo Rabbit,4
Simon Rich,Let the Right One In,5
Simon Rich,Once Upon a Time... in Hollywood,6
Simon Rich,Speak No Evil,7
Simon Rich,The Art of Self-Defense,8
Simon Rich,The Babadook,9
Simon Rich,Thelma,10
Phoebe Robinson,Bridesmaids,1
Phoebe Robinson,Brokeback Mountain,2
Phoebe Robinson,Children of Men,3
Phoebe Robinson,Get Out,4
Phoebe Robinson,In the Mood for Love,5
Phoebe Robinson,Kill Bill: Vol. 1,6
Phoebe Robinson,Lost in Translation,7
Phoebe Robinson,Love &amp; Basketball,8
Phoebe Robinson,The Dark Knight,9
Phoebe Robinson,WALL·E,10
Eric Roth,A Separation,1
Eric Roth,City of God,2
Eric Roth,In the Mood for Love,3
Eric Roth,Munich,4
Eric Roth,No Country for Old Men,5
Eric Roth,Superbad,6
Eric Roth,The Act of Killing,7
Eric Roth,The Great Beauty,8
Eric Roth,The Social Network,9
Eric Roth,The Wolf of Wall Street,10
Geoffrey Rush,Across the Universe,1
Geoffrey Rush,Close,2
Geoffrey Rush,First Cow,3
Geoffrey Rush,Mulholland Drive,4
Geoffrey Rush,Nitram,5
Geoffrey Rush,On Body and Soul,6
Geoffrey Rush,Roma,7
Geoffrey Rush,Spirited Away,8
Geoffrey Rush,There Will Be Blood,9
Geoffrey Rush,Victoria,10
Taylor Russell,45 Years,1
Taylor Russell,Holy Motors,2
Taylor Russell,In the Mood for Love,3
Taylor Russell,Incendies,4
Taylor Russell,Memoria,5
Taylor Russell,Ponyo,6
Taylor Russell,Shoplifters,7
Taylor Russell,Talk to Her,8
Taylor Russell,The Eight Mountains,9
Taylor Russell,Under the Skin,10
Will Sharpe,Anatomy of a Fall,1
Will Sharpe,Holy Motors,2
Will Sharpe,Leviathan,3
Will Sharpe,Mulholland Drive,4
Will Sharpe,Mustang,5
Will Sharpe,Nobody Knows,6
Will Sharpe,Nostalgia for the Light,7
Will Sharpe,Spirited Away,8
Will Sharpe,The Master,9
Will Sharpe,The Taste of Tea,10
Ali Siddiq,A Man Called Otto,1
Ali Siddiq,Bad Boys II,2
Ali Siddiq,Cast Away,3
Ali Siddiq,Iron Man,4
Ali Siddiq,Road to Perdition,5
Ali Siddiq,Talk to Me,6
Ali Siddiq,The Equalizer,7
Ali Siddiq,The Pursuit of Happyness,8
Ali Siddiq,The Six Triple Eight,9
Gabourey Sidibe,Identity,1
Gabourey Sidibe,Pariah,2
Gabourey Sidibe,Seven Psychopaths,3
Gabourey Sidibe,Sinners,4
Gabourey Sidibe,The Color Purple,5
Justice Smith,13th,1
Justice Smith,Everything Everywhere All at Once,2
Justice Smith,Force Majeure,3
Justice Smith,Moonlight,4
Justice Smith,Oldboy,5
Justice Smith,Parasite,6
Justice Smith,Poor Things,7
Justice Smith,Spirited Away,8
Justice Smith,Tangerine,9
Justice Smith,The Piano Teacher,10
Cailee Spaeny,All the Beauty and the Bloodshed,1
Cailee Spaeny,Almost Famous,2
Cailee Spaeny,Anatomy of a Fall,3
Cailee Spaeny,Ex Machina,4
Cailee Spaeny,La Chimera,5
Cailee Spaeny,Lost in Translation,6
Cailee Spaeny,Moonlight,7
Cailee Spaeny,Parasite,8
Cailee Spaeny,Phantom Thread,9
Cailee Spaeny,Spirited Away,10
June Squibb,Amour,1
June Squibb,"Crouching Tiger, Hidden Dragon",2
June Squibb,Lost in Translation,3
June Squibb,Nebraska,4
June Squibb,No Country for Old Men,5
June Squibb,Once Upon a Time... in Hollywood,6
June Squibb,The Grand Budapest Hotel,7
June Squibb,The Hurt Locker,8
June Squibb,There Will Be Blood,9
June Squibb,Wicked Little Letters,10
Joachim Trier,Aftersun,1
Joachim Trier,Ida,2
Joachim Trier,Mulholland Drive,3
Joachim Trier,One Fine Morning,4
Joachim Trier,Petite Maman,5
Joachim Trier,Phantom Thread,6
Joachim Trier,Spirited Away,7
Joachim Trier,The Piano Teacher,8
Joachim Trier,The Royal Tenenbaums,9
Joachim Trier,The Tree of Life,10
Jodie Turner-Smith,Black Panther,1
Jodie Turner-Smith,Get Out,2
Jodie Turner-Smith,Incendies,3
Jodie Turner-Smith,Moonlight,4
Jodie Turner-Smith,Parasite,5
Jodie Turner-Smith,Queen & Slim,6
Jodie Turner-Smith,Requiem for a Dream,7
Jodie Turner-Smith,Shame,8
Jodie Turner-Smith,Spirited Away,9
Jodie Turner-Smith,The Handmaiden,10
Lulu Wang,Aruitemo aruitemo,1
Lulu Wang,Before Sunset,2
Lulu Wang,Birth,3
Lulu Wang,Border,4
Lulu Wang,Force Majeure,5
Lulu Wang,Girlhood,6
Lulu Wang,Mother,7
Lulu Wang,The Hunt,8
Lulu Wang,Toni Erdmann,9
Lulu Wang,Y tu mamá también,10
Samara Weaving,1917,1
Samara Weaving,Amélie,2
Samara Weaving,Boiling Point,3
Samara Weaving,Dogtooth,4
Samara Weaving,In Bruges,5
Samara Weaving,No Country for Old Men,6
Samara Weaving,Pirates of the Caribbean: Dead Man's Chest,7
Samara Weaving,Superbad,8
Samara Weaving,The Hurt Locker,9
Samara Weaving,The Social Network,10
Shea Whigham,Brokeback Mountain,1
Shea Whigham,Dark Night,2
Shea Whigham,Hell or High Water,3
Shea Whigham,In Bruges,4
Shea Whigham,No Country for Old Men,5
Shea Whigham,Superbad,6
Shea Whigham,The Brutalist,7
Shea Whigham,The Place Beyond the Pines,8
Shea Whigham,There Will Be Blood,9
Shea Whigham,Zodiac,10
Lana Wilson,45 Years,1
Lana Wilson,"Like Father, Like Son",2
Lana Wilson,Margaret,3
Lana Wilson,The Child,4
Lana Wilson,The Death of Mr. Lazarescu,5
Lana Wilson,The Man Without a Past,6
Lana Wilson,Toni Erdmann,7
Lana Wilson,Uncle Boonmee Who Can Recall His Past Lives,8
Lana Wilson,Yi Yi,9
Lana Wilson,"You, the Living",10
Alex Winter,Bad Luck Banging or Loony Porn,1
Alex Winter,L'intrus,2
Alex Winter,La ciénaga,3
Alex Winter,Mulholland Drive,4
Alex Winter,No Bears,5
Alex Winter,Oldboy,6
Alex Winter,Saint Omer,7
Alex Winter,Shoplifters,8
Alex Winter,The Gleaners &amp; I,9
Alex Winter,The Tree of Life,10
Joe Wright,Drive My Car,1
Joe Wright,Her,2
Joe Wright,Mulholland Drive,3
Joe Wright,Once Upon a Time... in Hollywood,4
Joe Wright,Roma,5
Joe Wright,Superbad,6
Joe Wright,The Handmaiden,7
Joe Wright,The Man Who Wasn't There,8
Joe Wright,The Social Network,9
Joe Wright,The Wolf of Wall Street by,10
